date,ticker,horizon,model,n_samples,acc_cv_mean,acc_cv_std,feat_SMA20_dist,feat_SMA50_dist,feat_sma_cross,feat_RSI14,feat_MACD,feat_MACD_sig,feat_MACD_hist,feat_BB_width,feat_BB_pos,feat_ATR14,feat_ret_1d,feat_ret_5d,feat_vol_10d,feat_spy_ret_1d,feat_vix_level,feat_vix_change
2026-05-15,BTC-USD,1,rf,682,0.4956,0.0,0.059807,0.055191,0.002997,0.074154,0.066614,0.058169,0.062999,0.058698,0.075307,0.070036,0.076735,0.058247,0.073252,0.056452,0.065815,0.085529
2026-05-15,BTC-USD,1,gb,682,0.4938,0.0,0.054763,0.008436,4.9e-05,0.093219,0.068195,0.039716,0.096271,0.053678,0.059087,0.034537,0.11652,0.068762,0.092096,0.013576,0.093856,0.10724
2026-05-15,BTC-USD,2,rf,682,0.5027,0.0,0.043952,0.066399,0.001428,0.070335,0.066291,0.067141,0.067178,0.056425,0.049688,0.093656,0.063992,0.045555,0.080982,0.057286,0.102317,0.067374
2026-05-15,BTC-USD,2,gb,682,0.5062,0.0,0.058661,0.042393,0.001663,0.071376,0.047056,0.062906,0.092452,0.062219,0.049943,0.073516,0.084352,0.035752,0.091613,0.038601,0.087782,0.099715
2026-05-15,BTC-USD,3,rf,682,0.5398,0.0,0.042209,0.060008,0.002678,0.063688,0.054061,0.056308,0.054385,0.054773,0.065739,0.081529,0.067295,0.059327,0.086439,0.063267,0.112355,0.075939
2026-05-15,BTC-USD,3,gb,682,0.5327,0.0,0.042783,0.033632,0.0,0.056227,0.035064,0.085519,0.033546,0.038172,0.07435,0.078963,0.038321,0.040862,0.098985,0.033274,0.200554,0.109746
2026-05-15,SGLN.L,1,rf,458,0.5842,0.0,0.053764,0.056337,0.005883,0.101542,0.048494,0.070153,0.036658,0.053292,0.052509,0.048743,0.1032,0.080042,0.067496,0.065105,0.092476,0.064306
2026-05-15,SGLN.L,1,gb,458,0.5553,0.0,0.030397,0.020874,0.001045,0.11006,0.052175,0.064304,0.068825,0.019124,0.048343,0.037254,0.093892,0.084887,0.07246,0.077978,0.128831,0.089551
2026-05-15,SGLN.L,2,rf,458,0.5474,0.0,0.057499,0.050164,0.002716,0.065061,0.07833,0.069422,0.052326,0.058598,0.06355,0.084404,0.078804,0.055923,0.086961,0.052385,0.069774,0.074083
2026-05-15,SGLN.L,2,gb,458,0.5368,0.0,0.043168,0.077586,0.0,0.043567,0.094126,0.079307,0.089592,0.037989,0.025178,0.0963,0.076909,0.044295,0.064048,0.043522,0.084364,0.100049
2026-05-15,SGLN.L,3,rf,458,0.5733,0.0,0.044779,0.048775,0.001167,0.074239,0.083146,0.065113,0.060791,0.057347,0.069612,0.0882,0.062194,0.049062,0.06998,0.06352,0.087868,0.074207
2026-05-15,SGLN.L,3,gb,458,0.5573,0.0,0.054596,0.070142,0.0,0.067651,0.123514,0.029842,0.066482,0.047088,0.060919,0.09941,0.034422,0.023221,0.069069,0.043985,0.146398,0.063262
2026-05-15,SJPA.MI,1,rf,454,0.5013,0.0,0.051528,0.058459,0.005697,0.045688,0.042757,0.050475,0.046402,0.057011,0.075892,0.092831,0.10325,0.067397,0.091296,0.058525,0.071208,0.081584
2026-05-15,SJPA.MI,1,gb,454,0.4773,0.0,0.035855,0.040753,0.0,0.030865,0.027532,0.047504,0.036833,0.036379,0.106021,0.078478,0.160971,0.066555,0.088728,0.049866,0.105694,0.087965
2026-05-15,SJPA.MI,2,rf,454,0.544,0.0,0.040224,0.068067,0.004924,0.082349,0.057687,0.091842,0.065994,0.07437,0.062568,0.120065,0.088324,0.054462,0.059823,0.038663,0.049168,0.041469
2026-05-15,SJPA.MI,2,gb,454,0.5467,0.0,0.035316,0.070105,0.000513,0.085287,0.017549,0.127416,0.053716,0.080763,0.072147,0.151916,0.133469,0.045306,0.0498,0.014953,0.035603,0.02614
2026-05-15,SJPA.MI,3,rf,454,0.5627,0.0,0.021189,0.08541,0.004014,0.059472,0.077466,0.129529,0.05355,0.073652,0.040334,0.133904,0.052236,0.053349,0.076855,0.035831,0.061295,0.041914
2026-05-15,SJPA.MI,3,gb,454,0.536,0.0,0.002671,0.080582,0.0,0.052137,0.075053,0.129754,0.064189,0.099546,0.025912,0.162819,0.047386,0.046089,0.096428,0.045322,0.049164,0.022948
2026-05-15,BABA,1,rf,453,0.52,0.0,0.056863,0.057287,0.002513,0.065994,0.056663,0.062021,0.081682,0.069449,0.041726,0.093166,0.064258,0.073764,0.085465,0.057584,0.065602,0.065961
2026-05-15,BABA,1,gb,453,0.52,0.0,0.034621,0.046212,3e-06,0.086806,0.01212,0.035392,0.075655,0.095245,0.032555,0.140229,0.049184,0.0929,0.098501,0.053668,0.058574,0.088334
2026-05-15,BABA,2,rf,453,0.552,0.0,0.047026,0.066946,0.001725,0.075642,0.045345,0.05339,0.107569,0.071397,0.061686,0.126547,0.031841,0.049251,0.072912,0.072867,0.07555,0.040306
2026-05-15,BABA,2,gb,453,0.512,0.0,0.015611,0.076779,0.0,0.085601,0.042822,0.097781,0.12883,0.04726,0.054965,0.12037,0.005257,0.044247,0.074666,0.062386,0.092041,0.051383
2026-05-15,BABA,3,rf,453,0.5653,0.0,0.057367,0.082894,0.002136,0.069616,0.05989,0.058616,0.080931,0.076878,0.049186,0.112543,0.046928,0.044444,0.090355,0.065562,0.06933,0.033324
2026-05-15,BABA,3,gb,453,0.5333,0.0,0.027869,0.052264,2e-06,0.063169,0.053783,0.072116,0.08599,0.085525,0.012818,0.142723,0.052763,0.031901,0.125717,0.070751,0.085898,0.036712
2026-05-15,NVDA,1,rf,453,0.4907,0.0,0.0798,0.058636,0.002241,0.054765,0.053294,0.060073,0.06413,0.046598,0.03694,0.075976,0.073228,0.071542,0.065388,0.080507,0.106194,0.070689
2026-05-15,NVDA,1,gb,453,0.5013,0.0,0.064404,0.063611,1.8e-05,0.047224,0.030795,0.096258,0.092285,0.060265,0.014135,0.106464,0.07472,0.04777,0.060487,0.057609,0.110112,0.073842
2026-05-15,NVDA,2,rf,453,0.5413,0.0,0.049649,0.053308,0.001945,0.069097,0.056464,0.099676,0.053382,0.060135,0.053175,0.085338,0.07428,0.054549,0.073634,0.05383,0.114289,0.04725
2026-05-15,NVDA,2,gb,453,0.5307,0.0,0.021469,0.007401,1e-06,0.069238,0.031109,0.114848,0.116917,0.115959,0.067776,0.112091,0.058735,0.044456,0.063292,0.042751,0.120269,0.013688
2026-05-15,NVDA,3,rf,453,0.5227,0.0,0.05873,0.054873,0.000834,0.062205,0.07811,0.104654,0.058967,0.091364,0.046999,0.078151,0.047774,0.060732,0.086448,0.042173,0.099723,0.028264
2026-05-15,NVDA,3,gb,453,0.5307,0.0,0.05237,0.038359,8e-06,0.053383,0.063402,0.163414,0.082134,0.101672,0.039971,0.069581,0.047192,0.025855,0.124888,0.013105,0.1136,0.011065
2026-05-15,LLY,1,rf,453,0.5253,0.0,0.075205,0.068144,0.00306,0.058949,0.058483,0.064172,0.063704,0.056764,0.074266,0.076041,0.071189,0.06181,0.073154,0.062427,0.064868,0.067763
2026-05-15,LLY,1,gb,453,0.5227,0.0,0.02487,0.068471,0.000113,0.046459,0.033301,0.059202,0.044938,0.089971,0.094912,0.094449,0.083771,0.095102,0.083164,0.053843,0.089188,0.038246
2026-05-15,LLY,2,rf,453,0.496,0.0,0.062324,0.069059,0.004702,0.080517,0.064669,0.072855,0.048648,0.062044,0.074349,0.073171,0.071341,0.085455,0.06288,0.051761,0.079067,0.037158
2026-05-15,LLY,2,gb,453,0.5013,0.0,0.056756,0.039306,0.001343,0.122613,0.036403,0.109126,0.02329,0.073321,0.089861,0.103868,0.076471,0.057036,0.058188,0.040076,0.087693,0.024647
2026-05-15,LLY,3,rf,453,0.5333,0.0,0.05819,0.08629,0.005374,0.069435,0.055741,0.096878,0.076806,0.066883,0.093304,0.061037,0.069011,0.074676,0.053491,0.037371,0.058405,0.037106
2026-05-15,LLY,3,gb,453,0.5147,0.0,0.050729,0.061437,4.9e-05,0.035301,0.042938,0.165219,0.085432,0.054239,0.104938,0.081613,0.099971,0.057292,0.063511,0.029784,0.057787,0.009758
2026-05-15,ALV.DE,1,rf,458,0.5447,0.0,0.049665,0.072737,0.001359,0.051054,0.064717,0.101733,0.039432,0.110093,0.064468,0.044077,0.094878,0.05327,0.055444,0.064402,0.06696,0.065712
2026-05-15,ALV.DE,1,gb,458,0.5474,0.0,0.074,0.049132,0.0,0.051254,0.032677,0.110048,0.06617,0.138502,0.085432,0.027352,0.09147,0.035835,0.037989,0.057973,0.045454,0.096711
2026-05-15,ALV.DE,2,rf,458,0.5974,0.0,0.039983,0.097023,0.001906,0.053089,0.080413,0.141477,0.058018,0.064819,0.086843,0.051481,0.064222,0.047057,0.068559,0.043592,0.056755,0.044764
2026-05-15,ALV.DE,2,gb,458,0.6,0.0,0.030725,0.107705,0.00255,0.059,0.043904,0.169003,0.04912,0.093925,0.091147,0.040956,0.040477,0.029365,0.070665,0.036339,0.090298,0.044821
2026-05-15,ALV.DE,3,rf,458,0.5547,0.0,0.036381,0.100486,0.002146,0.058856,0.083465,0.116237,0.052492,0.057715,0.051392,0.076788,0.076439,0.039496,0.085934,0.03068,0.100064,0.031429
2026-05-15,ALV.DE,3,gb,458,0.568,0.0,0.010613,0.102275,1e-06,0.062382,0.035726,0.135986,0.097579,0.089374,0.026715,0.038511,0.098122,0.025273,0.095511,0.024814,0.133988,0.02313
2026-05-15,EXUS.L,1,rf,458,0.5289,0.0,0.048078,0.07182,0.003358,0.03928,0.042716,0.058149,0.054879,0.074291,0.08384,0.065294,0.113229,0.067713,0.060352,0.089936,0.066379,0.060684
2026-05-15,EXUS.L,1,gb,458,0.4921,0.0,0.011466,0.056621,0.003152,0.017325,0.026445,0.05462,0.069087,0.125373,0.101301,0.067761,0.109257,0.057996,0.04129,0.080182,0.095647,0.08248
2026-05-15,EXUS.L,2,rf,458,0.5211,0.0,0.040757,0.069467,0.005675,0.061724,0.067476,0.068337,0.044393,0.075424,0.064313,0.117065,0.062379,0.088356,0.064068,0.055202,0.060984,0.054379
2026-05-15,EXUS.L,2,gb,458,0.5184,0.0,0.04942,0.051409,0.0,0.025222,0.05893,0.058857,0.083512,0.093034,0.049242,0.165869,0.032879,0.100853,0.03007,0.057884,0.064904,0.077914
2026-05-15,EXUS.L,3,rf,458,0.5493,0.0,0.056888,0.058471,0.002111,0.058207,0.068076,0.096826,0.063323,0.075445,0.057294,0.116584,0.061768,0.068922,0.054582,0.047777,0.066176,0.047548
2026-05-15,EXUS.L,3,gb,458,0.5253,0.0,0.007886,0.035569,0.0,0.063535,0.066796,0.149127,0.112532,0.095381,0.046425,0.135982,0.060901,0.046792,0.087538,0.016609,0.05171,0.023215
2026-05-15,ICGA.DE,1,rf,456,0.5333,0.0,0.059699,0.053852,0.005086,0.065095,0.057604,0.060219,0.071512,0.07138,0.05045,0.07742,0.074012,0.056109,0.076823,0.067315,0.07593,0.077495
2026-05-15,ICGA.DE,1,gb,456,0.5147,0.0,0.070725,0.035221,5.5e-05,0.069763,0.048408,0.041722,0.065954,0.092784,0.057052,0.058237,0.084033,0.065725,0.064724,0.067178,0.074334,0.104086
2026-05-15,ICGA.DE,2,rf,456,0.5147,0.0,0.079327,0.051329,0.003708,0.052199,0.045449,0.062746,0.082205,0.075075,0.063024,0.097581,0.065824,0.053229,0.047782,0.062689,0.082504,0.075327
2026-05-15,ICGA.DE,2,gb,456,0.528,0.0,0.065946,0.038375,1e-06,0.023226,0.018466,0.058087,0.0909,0.09148,0.028036,0.10751,0.081135,0.040305,0.045309,0.07895,0.102309,0.129966
2026-05-15,ICGA.DE,3,rf,456,0.5173,0.0,0.064172,0.05584,0.002293,0.055049,0.06466,0.087447,0.060173,0.065164,0.057605,0.107741,0.061899,0.047824,0.044106,0.081937,0.072928,0.071165
2026-05-15,ICGA.DE,3,gb,456,0.5493,0.0,0.066786,0.009736,0.000476,0.033676,0.125831,0.149605,0.037741,0.071016,0.030996,0.10339,0.061455,0.038583,0.046944,0.064233,0.067813,0.091719
2026-05-15,EMIM.AS,1,rf,460,0.5132,0.0,0.060382,0.086445,0.002159,0.064258,0.061943,0.063333,0.04614,0.090653,0.06584,0.055807,0.074292,0.05408,0.078135,0.06047,0.061173,0.074889
2026-05-15,EMIM.AS,1,gb,460,0.5079,0.0,0.041691,0.06212,0.004175,0.072201,0.09537,0.088206,0.052951,0.106058,0.040878,0.038046,0.071939,0.049415,0.082276,0.057255,0.061544,0.075877
2026-05-15,EMIM.AS,2,rf,460,0.4632,0.0,0.053462,0.114751,0.00397,0.074799,0.060279,0.064193,0.062579,0.041782,0.05489,0.070989,0.073431,0.066706,0.096724,0.047476,0.064428,0.04954
2026-05-15,EMIM.AS,2,gb,460,0.4763,0.0,0.020341,0.158889,3e-06,0.116645,0.042361,0.054183,0.042369,0.049013,0.027439,0.06912,0.085078,0.072576,0.109278,0.020965,0.073045,0.058695
